,ARR,Volatilidad,Sharpe Ratio
Buy_Mantein,-0.19787923999914725,0.27886674646256027,-0.8888805967133363
Revertion_Mean,-0.42404242287548766,0.13923769269018804,-3.4045552875560756
Media_Movil,0.034492211190011224,0.2792040377604764,-0.05554285294144851
Agente_BVC,-0.14743730785154496,0.1854649093352436,-1.0645534433398407
