,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Signal
0,2024-01-01 00:00:00-05:00,2188.41552734375,2188.41552734375,2188.41552734375,2188.41552734375,0,0.0,0.0,Comprar
1,2024-01-02 00:00:00-05:00,2188.4157854796977,2216.472398114053,2183.739683373972,2202.444091796875,740229,0.0,0.0,Comprar
2,2024-01-03 00:00:00-05:00,2211.796037153764,2263.233154296875,2207.1199355952995,2263.233154296875,2824764,0.0,0.0,Comprar
3,2024-01-04 00:00:00-05:00,2281.937792359667,2291.289996426716,2249.205078125,2249.205078125,7680764,0.0,0.0,Comprar
4,2024-01-05 00:00:00-05:00,2263.233260640337,2291.2898713094323,2263.233260640337,2286.61376953125,2593112,0.0,0.0,Comprar
5,2024-01-08 00:00:00-05:00,2286.61376953125,2286.61376953125,2286.61376953125,2286.61376953125,0,0.0,0.0,Comprar
6,2024-01-09 00:00:00-05:00,2267.909394266212,2267.909394266212,2230.5005795154293,2239.852783203125,6205275,0.0,0.0,Comprar
7,2024-01-10 00:00:00-05:00,2225.824510261194,2235.176714085821,2193.091796875,2193.091796875,3053737,0.0,0.0,Comprar
8,2024-01-11 00:00:00-05:00,2216.472398114053,2221.1485002197787,2197.767989691149,2202.444091796875,1809844,0.0,0.0,Comprar
9,2024-01-12 00:00:00-05:00,2216.472335526316,2235.176743421053,2207.120131578948,2221.1484375,2884748,0.0,0.0,Comprar
10,2024-01-15 00:00:00-05:00,2221.1484375,2221.1484375,2207.120131578948,2221.1484375,427263,0.0,0.0,Comprar
11,2024-01-16 00:00:00-05:00,2216.472461773956,2216.472461773956,2169.711439373661,2183.73974609375,4253709,0.0,0.0,Comprar
12,2024-01-17 00:00:00-05:00,2169.7110134314257,2174.387114753476,2155.682709465274,2165.034912109375,5092743,0.0,0.0,Comprar
13,2024-01-18 00:00:00-05:00,2169.711243206522,2169.711243206522,2141.6546323029893,2151.0068359375,4888401,0.0,0.0,Comprar
14,2024-01-19 00:00:00-05:00,2146.33079609118,2146.33079609118,2104.245878520765,2132.302490234375,4223169,0.0,0.0,Comprar
15,2024-01-22 00:00:00-05:00,2132.302490234375,2132.302490234375,2132.302490234375,2132.302490234375,0,0.0,0.0,Comprar
16,2024-01-23 00:00:00-05:00,2108.9217547913263,2151.006667858116,2108.9217547913263,2146.33056640625,4438261,0.0,0.0,Comprar
17,2024-01-24 00:00:00-05:00,2146.33056640625,2146.33056640625,2146.33056640625,2146.33056640625,0,0.0,0.0,Comprar
18,2024-01-25 00:00:00-05:00,2146.33056640625,2146.33056640625,2146.33056640625,2146.33056640625,0,0.0,0.0,Comprar
19,2024-01-26 00:00:00-05:00,2146.33056640625,2146.33056640625,2146.33056640625,2146.33056640625,0,0.0,0.0,Comprar
20,2024-01-29 00:00:00-05:00,2193.0917647646465,2244.528885046973,2193.0917647646465,2239.852783203125,3334508,0.0,0.0,Comprar
21,2024-01-30 00:00:00-05:00,2221.148209192763,2244.52871665795,2221.148209192763,2235.176513671875,2041122,0.0,0.0,Comprar
22,2024-01-31 00:00:00-05:00,2225.824666254015,2239.8529729741035,2183.73974609375,2183.73974609375,5674933,0.0,0.0,Comprar
