Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-01 00:00:00-05:00,2170.918212890625,2170.918212890625,2170.918212890625,2170.918212890625,0,0.0,0.0
2024-01-02 00:00:00-05:00,2170.918329518312,2198.750615794188,2166.2796151389994,2184.83447265625,740229,0.0,0.0
2024-01-03 00:00:00-05:00,2194.111838600852,2245.1376953125,2189.473124354339,2245.1376953125,2824764,0.0,0.0
2024-01-04 00:00:00-05:00,2263.6926812629936,2272.9701102845634,2231.2216796875,2231.2216796875,7680764,0.0,0.0
2024-01-05 00:00:00-05:00,2245.1377272654654,2272.970013140657,2245.1377272654654,2268.331298828125,2593112,0.0,0.0
2024-01-08 00:00:00-05:00,2268.331298828125,2268.331298828125,2268.331298828125,2268.331298828125,0,0.0,0.0
2024-01-09 00:00:00-05:00,2249.776376871575,2249.776376871575,2212.6666634386415,2221.944091796875,6205275,0.0,0.0
2024-01-10 00:00:00-05:00,2208.0281308302237,2217.305559951359,2175.55712890625,2175.55712890625,3053737,0.0,0.0
2024-01-11 00:00:00-05:00,2198.750615794188,2203.3893301735006,2180.1957582769373,2184.83447265625,1809844,0.0,0.0
2024-01-12 00:00:00-05:00,2198.7504461348685,2217.305302220395,2189.4730180921056,2203.38916015625,2884748,0.0,0.0
2024-01-15 00:00:00-05:00,2203.38916015625,2203.38916015625,2189.4730180921056,2203.38916015625,427263,0.0,0.0
2024-01-16 00:00:00-05:00,2198.750788359877,2198.750788359877,2152.3636409261244,2166.27978515625,4253709,0.0,0.0
2024-01-17 00:00:00-05:00,2152.363568102052,2157.0022826884788,2138.4474243427712,2147.724853515625,5092743,0.0,0.0
2024-01-18 00:00:00-05:00,2152.3634510869565,2152.3634510869565,2124.531165081522,2133.80859375,4888401,0.0,0.0
2024-01-19 00:00:00-05:00,2129.170050370066,2129.170050370066,2087.4216180098683,2115.25390625,4223169,0.0,0.0
2024-01-22 00:00:00-05:00,2115.25390625,2115.25390625,2115.25390625,2115.25390625,0,0.0,0.0
