Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,sugerencia
2024-01-01 00:00:00-05:00,2028.2623291015625,2028.2623291015625,2028.2623291015625,2028.2623291015625,0,0.0,0.0,compra
2024-01-02 00:00:00-05:00,2028.2622350218949,2054.265597009355,2023.9283413573185,2041.263916015625,740229,0.0,0.0,vende
2024-01-03 00:00:00-05:00,2049.9316628196025,2097.6044921875,2045.5977692407023,2097.6044921875,2824764,0.0,0.0,compra
2024-01-04 00:00:00-05:00,2114.9402855379417,2123.608073593425,2084.60302734375,2084.60302734375,7680764,0.0,0.0,mantén
2024-01-05 00:00:00-05:00,2097.604699881774,2123.6080639298957,2097.604699881774,2119.274169921875,2593112,0.0,0.0,mantén
2024-01-08 00:00:00-05:00,2119.274169921875,2119.274169921875,2119.274169921875,2119.274169921875,0,0.0,0.0,mantén
2024-01-09 00:00:00-05:00,2101.9384204968032,2101.9384204968032,2067.2672712927324,2075.93505859375,6205275,0.0,0.0,compra
2024-01-10 00:00:00-05:00,2062.933447994403,2071.601235591018,2032.59619140625,2032.59619140625,3053737,0.0,0.0,compra
2024-01-11 00:00:00-05:00,2054.265597009355,2058.5994906739315,2036.9300223510484,2041.263916015625,1809844,0.0,0.0,compra
2024-01-12 00:00:00-05:00,2054.2654718338817,2071.601045435855,2045.5976850328948,2058.599365234375,2884748,0.0,0.0,compra
2024-01-15 00:00:00-05:00,2058.599365234375,2058.599365234375,2045.5976850328948,2058.599365234375,427263,0.0,0.0,mantén
2024-01-16 00:00:00-05:00,2054.265600429102,2054.265600429102,2010.9266637111884,2023.9283447265625,4253709,0.0,0.0,compra
2024-01-17 00:00:00-05:00,2010.926789450594,2015.2606833933755,1997.9251076222497,2006.5928955078125,5092743,0.0,0.0,mantén
2024-01-18 00:00:00-05:00,2010.926762058424,2010.926762058424,1984.9233987559444,1993.5911865234373,4888401,0.0,0.0,mantén
2024-01-19 00:00:00-05:00,1989.2572969135483,1989.2572969135483,1950.252251876028,1976.255615234375,4223169,0.0,0.0,mantén
2024-01-22 00:00:00-05:00,1976.255615234375,1976.255615234375,1976.255615234375,1976.255615234375,0,0.0,0.0,mantén
2024-01-23 00:00:00-05:00,1954.58617259838,1993.591218171296,1954.58617259838,1989.25732421875,4438261,0.0,0.0,compra
2024-01-24 00:00:00-05:00,1989.25732421875,1989.25732421875,1989.25732421875,1989.25732421875,0,0.0,0.0,compra
2024-01-25 00:00:00-05:00,1989.25732421875,1989.25732421875,1989.25732421875,1989.25732421875,0,0.0,0.0,compra
2024-01-26 00:00:00-05:00,1989.25732421875,1989.25732421875,1989.25732421875,1989.25732421875,0,0.0,0.0,compra
2024-01-29 00:00:00-05:00,2032.596122088661,2080.268952244259,2032.596122088661,2075.93505859375,3334508,0.0,0.0,mantén
2024-01-30 00:00:00-05:00,2058.5996364449857,2080.269106302301,2058.5996364449857,2071.601318359375,2041122,0.0,0.0,mantén
2024-01-31 00:00:00-05:00,2062.933387772685,2075.9350687880587,2023.9283447265625,2023.9283447265625,5674933,0.0,0.0,mantén
2024-02-01 00:00:00-05:00,2054.265660397788,2080.269023187633,2015.26061621302,2032.59619140625,2856567,0.0,0.0,mantén
2024-02-02 00:00:00-05:00,2015.260651687096,2028.262333310884,2010.9267578125,2010.9267578125,1329585,0.0,0.0,mantén
2024-02-05 00:00:00-05:00,2015.260651687096,2023.928439436288,1997.925076188712,2010.9267578125,1307406,0.0,0.0,compra
2024-02-06 00:00:00-05:00,2036.9300223510484,2045.5978096802016,2006.5927666990117,2041.263916015625,1728880,0.0,0.0,mantén
2024-02-07 00:00:00-05:00,2041.2640966693648,2049.931884765625,2028.2624145249736,2049.931884765625,1985107,0.0,0.0,mantén
2024-02-08 00:00:00-05:00,2058.599586160774,2062.9334800263755,2028.2623291015625,2028.2623291015625,7357052,0.0,0.0,mantén
2024-02-09 00:00:00-05:00,2023.9284712789383,2023.9284712789383,1997.9251076222497,2006.5928955078125,3991935,0.0,0.0,mantén
2024-02-12 00:00:00-05:00,2019.5944861209755,2036.9300611091385,2002.2589111328125,2002.2589111328125,3416185,0.0,0.0,mantén
2024-02-13 00:00:00-05:00,2006.5929046295505,2006.5929046295505,1971.9217529296875,1971.9217529296875,3168712,0.0,0.0,mantén
2024-02-14 00:00:00-05:00,1980.5895408546533,2002.2590106670675,1971.9217529296875,1971.9217529296875,2353063,0.0,0.0,mantén
2024-02-15 00:00:00-05:00,1958.9200665509256,2006.592900028935,1958.9200665509256,1989.25732421875,4545594,0.0,0.0,mantén
2024-02-16 00:00:00-05:00,1993.59115501288,2006.592836458616,1993.59115501288,1997.925048828125,3215751,0.0,0.0,mantén
2024-02-19 00:00:00-05:00,1984.9232204622108,1997.924900945588,1967.587646484375,1967.587646484375,355978,0.0,0.0,mantén
2024-02-20 00:00:00-05:00,1993.5911908066064,2010.9267663788376,1971.9217213413167,1976.255615234375,2612608,0.0,0.0,compra
2024-02-21 00:00:00-05:00,1997.9250137263612,2019.594482421875,1989.257226248156,2019.594482421875,5196637,0.0,0.0,mantén
2024-02-22 00:00:00-05:00,1984.923390445546,2036.9301168327656,1984.923390445546,2028.2623291015625,2135737,0.0,0.0,compra
2024-02-23 00:00:00-05:00,2002.258907465464,2028.2622699000804,1997.9250137263612,2019.594482421875,1395482,0.0,0.0,compra
2024-02-26 00:00:00-05:00,2028.2622976079424,2036.9300852045576,2015.26061621302,2032.59619140625,4085477,0.0,0.0,mantén
2024-02-27 00:00:00-05:00,2028.262324963586,2054.265688104145,2028.262324963586,2045.597900390625,2181966,0.0,0.0,mantén
2024-02-28 00:00:00-05:00,2045.5979131283968,2062.9334886633837,1993.5911865234373,1993.5911865234373,4521562,0.0,0.0,compra
2024-02-29 00:00:00-05:00,2006.5926852163789,2010.9265787049671,1984.9232177734373,1984.9232177734373,3385269,0.0,0.0,mantén
2024-03-01 00:00:00-05:00,1976.255623953683,1984.923411778041,1906.9133213588168,1941.58447265625,9331162,0.0,0.0,mantén
2024-03-04 00:00:00-05:00,1915.581136451577,1915.581136451577,1837.5710449218748,1837.571044921875,19324407,0.0,0.0,compra
2024-03-05 00:00:00-05:00,1837.570958103371,1850.5726394107064,1815.9014892578125,1815.9014892578125,6639850,0.0,0.0,compra
2024-03-06 00:00:00-05:00,1863.5742597328388,1863.5742597328388,1807.233642578125,1807.233642578125,4092863,0.0,0.0,mantén
2024-03-07 00:00:00-05:00,1811.567626953125,1833.2370961750523,1807.2337331087397,1811.567626953125,5057413,0.0,0.0,mantén
2024-03-08 00:00:00-05:00,1802.8998156173968,1802.8998156173968,1776.8964528921456,1781.2303466796875,5733447,0.0,0.0,compra
2024-03-11 00:00:00-04:00,1776.8964215621206,1798.5658901177562,1750.893059295358,1785.564208984375,7513846,0.0,0.0,vende
2024-03-12 00:00:00-04:00,1785.564236634036,1811.567599303464,1776.8964490775602,1798.56591796875,4786471,0.0,0.0,compra
2024-03-13 00:00:00-04:00,1820.235355083759,1833.2370361915,1802.8997802734373,1802.8997802734373,3251229,0.0,0.0,mantén
2024-03-14 00:00:00-04:00,1807.2337871047685,1837.5710449218748,1794.2321051831514,1837.571044921875,7189970,0.0,0.0,mantén
2024-03-15 00:00:00-04:00,1837.57108358668,1915.5811767578125,1824.569401391491,1915.5811767578125,46520253,0.0,0.0,mantén
2024-03-18 00:00:00-04:00,1828.9031389508928,1872.2420758928567,1820.2353515625,1820.2353515625,4839131,0.0,0.0,
2024-03-19 00:00:00-04:00,1837.5710449218748,1854.906620817364,1828.9032569741305,1837.571044921875,1504884,0.0,0.0,
2024-03-20 00:00:00-04:00,1824.569210707721,1854.906465992647,1824.569210707721,1841.90478515625,1157509,0.0,0.0,
2024-03-21 00:00:00-04:00,1850.5725723805149,1854.906465992647,1837.5708915441176,1841.90478515625,2224496,0.0,0.0,
2024-03-22 00:00:00-04:00,1846.2387418273493,1846.2387418273493,1807.2336979859265,1833.237060546875,2823812,0.0,0.0,
2024-03-25 00:00:00-04:00,1833.237060546875,1833.237060546875,1833.237060546875,1833.237060546875,0,0.0,0.0,
2024-03-26 00:00:00-04:00,1946.4691122337088,1993.2592351239423,1866.9259033203125,1866.9259033203125,9764642,156.0,0.0,
