Date,Close,SMA_20,Upper_Band,Lower_Band,Signal
2024-01-01 05:00:00,26946.267578125,25411.0404296875,27276.02001299911,23546.060846375887,mantén
2024-01-02 05:00:00,27468.62109375,25560.9146484375,27583.01259981972,23538.81669705528,mantén
2024-01-03 05:00:00,27288.498046875,25707.02265625,27787.142104388397,23626.903208111602,mantén
2024-01-04 05:00:00,29053.6953125,25941.39052734375,28406.173067566127,23476.60798712137,vende
2024-01-05 05:00:00,29900.26953125,26218.087109375,29138.71028726227,23297.463931487728,vende
2024-01-08 05:00:00,29900.26953125,26500.8970703125,29698.915680336027,23302.878460288975,vende
2024-01-09 05:00:00,29269.84375,26732.97216796875,30030.92080746543,23435.02352847207,mantén
2024-01-10 05:00:00,28873.572265625,26923.40009765625,30255.478227210137,23591.321968102362,mantén
2024-01-11 05:00:00,28171.095703125,27055.123828125,30364.58721718475,23745.66043906525,mantén
2024-01-12 05:00:00,28081.037109375,27205.925,30406.640130440985,24005.209869559014,mantén
2024-01-15 05:00:00,28495.31640625,27381.80673828125,30450.8548131326,24312.758663429904,mantén
2024-01-16 05:00:00,27648.7421875,27504.0064453125,30397.684892059853,24610.32799856515,mantén
2024-01-17 05:00:00,27936.9375,27639.74248046875,30330.307316536717,24949.177644400785,mantén
2024-01-18 05:00:00,28279.16796875,27767.2630859375,30314.404967954237,25220.12120392076,mantén
2024-01-19 05:00:00,28153.0859375,27899.8330078125,30216.009837136422,25583.656178488578,mantén
2024-01-22 05:00:00,28153.0859375,28032.4029296875,30055.62319936942,26009.182660005583,mantén
2024-01-23 05:00:00,27648.7421875,28088.2408203125,29995.419975013705,26181.061665611298,mantén
2024-01-24 05:00:00,27648.7421875,28140.47626953125,29930.098076848873,26350.854462213625,mantén
2024-01-25 05:00:00,27648.7421875,28175.6,29892.637779235985,26458.56222076401,mantén
2024-01-26 05:00:00,27648.7421875,28210.72373046875,29848.802606216723,26572.64485472078,mantén
2024-01-29 05:00:00,28026.998046875,28264.76025390625,29794.961015648492,26734.559492164008,mantén
2024-01-30 05:00:00,27918.92578125,28287.27548828125,29780.96878928401,26793.582187278495,mantén
2024-01-31 05:00:00,27630.728515625,28304.38701171875,29757.18539546267,26851.58862797483,mantén
2024-02-01 05:00:00,28099.046875,28256.65458984375,29667.932017399475,26845.377162288027,mantén
2024-02-02 05:00:00,28441.28125,28183.70517578125,29370.188567200905,26997.221784361598,mantén
2024-02-05 05:00:00,28189.109375,28098.14716796875,28967.970023005,27228.3243129325,mantén
2024-02-06 05:00:00,28333.208984375,28051.3154296875,28736.854478275633,27365.776381099367,mantén
2024-02-07 05:00:00,28423.267578125,28028.8001953125,28624.297576068227,27433.30281455677,mantén
2024-02-08 05:00:00,27918.92578125,28016.19169921875,28609.678498905232,27422.70489953227,mantén
2024-02-09 05:00:00,27738.8046875,27999.080078125,28604.313175835952,27393.846980414048,mantén
2024-02-12 05:00:00,27792.83984375,27963.95625,28528.070760970164,27399.841739029835,mantén
2024-02-13 05:00:00,27396.57421875,27951.3478515625,28555.012561921038,27347.68314120396,mantén
2024-02-14 05:00:00,27810.853515625,27945.04365234375,28551.966656854518,27338.12064783298,mantén
2024-02-15 05:00:00,27900.9140625,27926.13095703125,28512.43846475753,27339.82344930497,mantén
2024-02-16 05:00:00,27918.92578125,27914.42294921875,28490.917829304963,27337.92806913254,mantén
2024-02-19 05:00:00,26315.83984375,27822.56064453125,28729.653097290586,26915.468191771917,compra
2024-02-20 05:00:00,27666.75390625,27823.46123046875,28729.862567438777,26917.059893498725,mantén
2024-02-21 05:00:00,28369.232421875,27859.4857421875,28793.499177557063,26925.472306817934,mantén
2024-02-22 05:00:00,28855.560546875,27919.82666015625,28947.726087548297,26891.927232764203,mantén
2024-02-23 05:00:00,29449.96484375,28009.88779296875,29234.57746559805,26785.198120339453,vende
2024-02-26 05:00:00,29449.96484375,28081.0361328125,29464.90144408727,26697.17082153773,mantén
2024-02-27 05:00:00,28891.5859375,28129.669140625,29557.22155681655,26702.11672443345,mantén
2024-02-28 05:00:00,29071.705078125,28201.71796875,29668.16532759205,26735.270609907948,mantén
2024-02-29 05:00:00,28891.5859375,28241.344921875,29738.619137855945,26744.070705894053,mantén
2024-03-01 05:00:00,29053.6953125,28271.965625,29810.924872939882,26733.00637706012,mantén
2024-03-04 05:00:00,28909.599609375,28307.99013671875,29872.305058127033,26743.675215310464,mantén
2024-03-05 05:00:00,29143.75390625,28348.5173828125,29956.959028632125,26740.075736992876,mantén
2024-03-06 05:00:00,29431.951171875,28398.9515625,30078.927788021065,26718.975336978932,mantén
2024-03-07 05:00:00,29630.083984375,28484.50947265625,30234.389452403553,26734.629492908945,mantén
2024-03-08 05:00:00,28729.474609375,28534.04296875,30250.817219220266,26817.268718279734,mantén
2024-03-11 04:00:00,28819.53515625,28585.377734375,30269.93041477776,26900.825053972243,mantén
2024-03-12 04:00:00,28729.474609375,28652.02275390625,30241.318405249855,27062.727102562647,mantén
2024-03-13 04:00:00,28711.462890625,28697.05322265625,30236.243081343644,27157.863363968856,mantén
2024-03-14 04:00:00,28387.2421875,28721.36962890625,30222.496946559364,27220.242311253136,mantén
2024-03-15 04:00:00,28279.16796875,28739.38173828125,30208.266583539677,27270.49689302282,mantén
2024-03-18 04:00:00,29161.76953125,28881.67822265625,29816.231097990985,27947.125347321515,mantén
2024-03-19 04:00:00,28891.5859375,28942.91982421875,29682.428125693437,28203.41152274406,mantén
2024-03-20 04:00:00,29377.916015625,28993.35400390625,29705.190299261238,28281.517708551262,mantén
2024-03-21 04:00:00,30270.287109375,29064.09033203125,29972.34202283607,28155.83864122643,vende
2024-03-22 04:00:00,30529.484375,29118.06630859375,30228.645846942338,28007.48677024516,vende
2024-03-25 04:00:00,30529.484375,29172.04228515625,30443.780757680317,27900.303812632184,vende
2024-03-26 04:00:00,30418.3984375,29248.38291015625,30627.967447303985,27868.798373008518,mantén
2024-03-27 04:00:00,30436.912109375,29316.64326171875,30791.245880164737,27842.04064327276,mantén
2024-03-28 04:00:00,30436.912109375,29393.9095703125,30935.17208112285,27852.647059502146,mantén
2024-03-29 04:00:00,30436.912109375,29463.07041015625,31063.07187227755,27863.068948034954,mantén
2024-04-01 04:00:00,30733.134765625,29554.24716796875,31227.598154567335,27880.896181370168,mantén
2024-04-02 04:00:00,30973.81640625,29645.75029296875,31421.59448998292,27869.906095954582,mantén
2024-04-03 04:00:00,31325.583984375,29740.43193359375,31664.05495785656,27816.808909330943,mantén
2024-04-04 04:00:00,32380.875,29877.971484375,32133.162766679023,27622.78020207098,vende
2024-04-05 04:00:00,31658.83203125,30024.43935546875,32345.116622276946,27703.76208866055,mantén
2024-04-08 04:00:00,31936.54296875,30180.28974609375,32577.65182061608,27782.92767157142,mantén
2024-04-09 04:00:00,32029.11328125,30345.2716796875,32776.16025396686,27914.38310540814,mantén
2024-04-10 04:00:00,31714.375,30495.41728515625,32871.749273893714,28119.085296418787,mantén
2024-04-11 04:00:00,31788.4296875,30665.47666015625,32888.42421419533,28442.529106117177,mantén
2024-04-12 04:00:00,30881.248046875,30795.5806640625,32714.22340072688,28876.93792739812,mantén
2024-04-15 04:00:00,30566.509765625,30865.81767578125,32629.194947981952,29102.44040358055,mantén
2024-04-16 04:00:00,30529.484375,30947.71259765625,32459.178650532733,29436.246544779766,mantén
2024-04-17 04:00:00,30085.146484375,30983.07412109375,32367.671039962446,29598.47720222505,mantén
2024-04-18 04:00:00,29233.5078125,30931.23515625,32494.325035494803,29368.1452770052,compra
2024-04-19 04:00:00,29455.67578125,30877.5447265625,32567.36912693533,29187.720326189672,mantén
2024-04-22 04:00:00,29603.78515625,30831.259765625,32609.61662856907,29052.90290268093,mantén
2024-04-23 04:00:00,29307.564453125,30775.71806640625,32673.729363524064,28877.706769288437,mantén
2024-04-24 04:00:00,29085.396484375,30708.14228515625,32747.888943773563,28668.395626538935,mantén
